gene_idx,gene_name,fold0 probability,fold1 probability,fold2 probability,fold3 probability,fold4 probability,fold5 probability,fold6 probability,fold7 probability,fold8 probability,fold9 probability,average probability,cancer gene
173,LCP2,0.9237003,0.8397222,0.8614185,0.93723536,0.9616301,0.9320825,0.862129,0.8592878,0.96297896,0.66500723,0.8805192,1
4616,ITGB1,0.8794884,0.8859703,0.8620512,0.95808446,0.9708491,0.8845771,0.93898284,0.8463807,0.8946232,0.6792612,0.8800268,1
3837,CDK1,0.87288934,0.781925,0.79771256,0.92618495,0.9645626,0.91847986,0.94588006,0.9075296,0.9292349,0.7526171,0.8797015,1
8884,PLSCR1,0.91237676,0.8614667,0.8385081,0.9545011,0.97103757,0.9084316,0.9382248,0.8626201,0.88588893,0.6593363,0.8792392,1
204,SLAMF7,0.95629036,0.7626603,0.6304362,0.91486824,0.8903535,0.97461945,0.97231907,0.9201788,0.975774,0.7902335,0.87877333,1
7055,TNFRSF10D,0.8878513,0.7652687,0.7459268,0.9361273,0.94334716,0.9378954,0.94930243,0.8780005,0.95571566,0.78667897,0.8786114,1
2175,EIF3F,0.9224889,0.8197233,0.806117,0.94906384,0.9658014,0.9027545,0.9429903,0.8731785,0.9104775,0.6929261,0.87855214,1
4694,TNFRSF1A,0.8650047,0.8361899,0.83389163,0.9492886,0.962885,0.8753414,0.8985744,0.8747797,0.9099114,0.77842444,0.8784291,1
1919,RPLP2,0.9564878,0.7076864,0.8179901,0.959312,0.803425,0.9270903,0.9255578,0.9075269,0.90133804,0.87424606,0.87806594,1
110,IQGAP2,0.93863434,0.7452897,0.80182236,0.9526317,0.9552821,0.9322136,0.9675528,0.8988651,0.9037124,0.6792196,0.87752235,1
295,CD247,0.96575326,0.7822839,0.78576124,0.941706,0.94229364,0.9592034,0.94059414,0.8712677,0.97382075,0.60967326,0.8772358,1
1039,RIPK3,0.88897294,0.78915906,0.80339056,0.95095575,0.9510694,0.9119531,0.88739395,0.8634161,0.9157272,0.8079925,0.8770031,1
8882,HSD17B11,0.8894964,0.8189193,0.8454544,0.954466,0.9348561,0.88812274,0.9363572,0.83522135,0.9680338,0.6990449,0.8769972,1
2861,RPS9,0.9508481,0.7600303,0.842361,0.9599059,0.831142,0.9226841,0.91183424,0.894331,0.8936785,0.8015862,0.87684023,1
1920,HNRNPA1,0.9394541,0.7240244,0.8395729,0.9621297,0.8115537,0.90541565,0.89207685,0.90278035,0.92556834,0.8602505,0.8762826,1
1954,RPLP1,0.9414178,0.7619891,0.8375884,0.9563775,0.86382556,0.9035293,0.91768086,0.86022174,0.91498876,0.80374527,0.8761364,1
1933,RPL4,0.9469383,0.66963315,0.79681903,0.96451515,0.8175288,0.929314,0.8931858,0.931337,0.9317532,0.8796638,0.8760688,1
1944,RPL14,0.9586073,0.7387767,0.8111581,0.9559945,0.7613252,0.9289137,0.9033116,0.9224291,0.90973043,0.86517876,0.8755425,1
4600,ANXA7,0.8723759,0.8329958,0.86563283,0.94905233,0.938006,0.89220256,0.9363822,0.8512808,0.8810793,0.7361022,0.875511,1
66,MTA2,0.89060676,0.6476296,0.77400887,0.9495088,0.94865125,0.9394852,0.95187175,0.89714307,0.90764517,0.84685886,0.87534094,1
692,PPP1R16B,0.88813525,0.8320748,0.7429623,0.93900925,0.96390337,0.92132705,0.9372737,0.86663455,0.96800774,0.69369584,0.87530243,1
5528,PRKG1,0.8717481,0.835004,0.8057557,0.9299256,0.9453141,0.9482072,0.8919792,0.89662766,0.97503793,0.64729095,0.874689,1
485,RPS15A,0.9549125,0.7392953,0.8530787,0.9409096,0.85959774,0.9180555,0.8710585,0.8728155,0.92842925,0.80326724,0.874142,1
26,SF3A2,0.945709,0.63141394,0.7882131,0.9453138,0.7412031,0.9494257,0.9559954,0.9374663,0.93754745,0.90200996,0.8734298,1
5155,KAT5,0.9053706,0.7992642,0.7862146,0.93747187,0.96144253,0.895698,0.92977816,0.8609968,0.93834454,0.71783143,0.8732413,1
